"","Idimpianto","Gestore","Bandiera","Tipo.Impianto","Nome.Impianto","Indirizzo","Comune","Provincia","Latitudine","Longitudine"
"120",10004,"CONTE LUCIANO","Tamoil","Strada Statale","tamoil 8264","1 Via Aurelia, Km. 1, ponente 16167","GENOVA","GE",44.3825871041,9.0521872044
"121",13263,"TONY & LUCA DI ANTONIO FONTANINO & LUCA BUCCHERI - SOCIETA' IN NOME COLLETTIVO.","Agip Eni","Altro","Tony & Luca snc","VIA W.FILLAK 168/R 16159","GENOVA","GE",44.4261221417,8.8913525641
"122",23022,"D'AMICO S.A.S. DI D'AMICO DANIELE E ROSARIA","Total Erg","Strada Statale","totalerg","1 Via Aurelia, Km. 80, savona 16157","GENOVA","GE",44.4273840655,8.7749433517
"123",13581,"PARODI DANIELE","Total Erg","Altro","totalerg","VIA SAN QUIRICO 20 16152","GENOVA","GE",44.4717347456,8.9025198791
"124",19294,"PASQUALE SABRINA","Total Erg","Altro","Totalerg","VIA CANEVARI 1 A, 16137","GENOVA","GE",44.4080821573,8.9503276348
"125",23604,"CARMINATI ENRICO","Total Erg","Altro","TotalErg","VIA SAN QUIRICO  1A 16163","GENOVA","GE",44.4701245202,8.9040668798
"126",13222,"DASSO DANIEL MARCO E C. SNC","Total Erg","Altro","TOTALERG  Dasso","VIA MULTEDO DI PEGLI 80 16155","GENOVA","GE",44.4259396114,8.8288207196
"127",22030,"DISTRIBUTORE TOTAL DI ROCCA CIRO","Total Erg","Altro","TOTALERG di ROCCA","CORSO EUROPA 313-311 16132","GENOVA","GE",44.4056072595,8.9806665615
"128",29838,"STAZIONE DI SERVIZIO TOTALERG S.N.C. DI SEGALERBA ANDREA","Total Erg","Altro","totalerg snc","VIA PIACENZA 76R 16138","GENOVA","GE",44.43112677,8.9574716985
"129",26230,"VEGNI MASSIMO","Api-Ip","Altro","VEGNI MASSIMO ","VIA EMILIA 6/A 16138","GENOVA","GE",44.4426504867,8.9641383854
"130",15440,"VOLTRI 1118 S.A.S. DI BRUNO  LANZA & C.","Agip Eni","Altro","voltri1118","VIA VOLTRI 40R, 16158","GENOVA","GE",44.4288255393,8.7593984864
"131",3820,NA,"TotalErg",NA,"TURCHINO OVEST","A26 (GE) VOLTRI -GRAVELLONA T., Km. 6+800, Sud 1601","MELE","GE",44.4551080998,8.7443339825
"132",7856,NA,"Esso",NA," Esso Andrea e Michele Gimondo s.n.c","VIA RETA COSTANTINO - NOVA 32 16162 ","GENOVA","GE",44.4568250512,8.9000067115
"133",8714,NA,"AgipEni",NA,"vella roberto","VIA BOLOGNA 1/F, 16127 ","GENOVA","GE",44.4180966,8.9086781
